Index,Distance
2,"(True, 1056.0292078157343)"
2,"(False, None)"
2,"(True, 2480.6739249467587)"
2,"(True, 32462.490000719274)"
2,"(True, 799.0317336433683)"
2,"(True, 2687.5510357666917)"
2,"(True, 2565.093514034103)"
2,"(True, 1422.8856477093718)"
2,"(False, None)"
2,"(True, 1197.8574782325636)"
2,"(True, 1144.472890626061)"
2,"(True, 213.20864260203828)"
2,"(True, 97.07762079277151)"
2,"(True, 33209.66071666666)"
2,"(True, 113.6608007341267)"
2,"(True, 1141.536598937559)"
2,"(True, 96.83714036167234)"
2,"(True, 571.680901653493)"
2,"(True, 176.72476666666662)"
2,"(True, 172.8915673876171)"
2,"(True, 2242.862720146183)"
2,"(True, 1470.5032712522109)"
2,"(True, 2968.6600000000003)"
2,"(True, 1571.8516000000002)"
2,"(True, 2427.2309237410004)"
2,"(True, 274.2755999999999)"
2,"(True, 2158.158319819692)"
2,"(True, 1854.288160033062)"
2,"(True, 213.20864260203828)"
2,"(True, 2522.8188062299905)"
2,"(True, 256.5200520429604)"
2,"(True, 571.680901653493)"
2,"(True, 2429.8649736560096)"
2,"(True, 2670.1866)"
2,"(False, None)"
2,"(True, 1869.0254947637384)"
2,"(True, 512.7544338142044)"
2,"(True, 301.1182666666666)"
2,"(True, 1422.8856477093718)"
2,"(True, 2052.7505296396394)"
2,"(True, 1967.3107400341082)"
2,"(True, 647.1665703811599)"
2,"(True, 791.2675575175698)"
2,"(True, 647.935000180443)"
2,"(True, 2166.296900454322)"
2,"(True, 2614.4784127361904)"
2,"(True, 1854.288160033062)"
2,"(True, 201789169.81718394)"
2,"(False, None)"
2,"(False, None)"
2,"(True, 2570.369275479018)"
2,"(True, 178.22152884251423)"
2,"(True, 1145.2296210751313)"
2,"(True, 349.1874844801714)"
2,"(True, 2692.9379844951786)"
2,"(True, 1634.0104)"
2,"(True, 213898.93135125382)"
2,"(True, 1145.2296210751313)"
2,"(True, 12118.618450000004)"
2,"(True, 2017.979598035959)"
2,"(True, 1634.0662629592766)"
2,"(True, 1184.2025192419298)"
2,"(True, 1161.5883346258736)"
2,"(True, 2977.6017069196237)"
2,"(True, 1850.0774763358304)"
2,"(True, 573.2403002704253)"
2,"(True, 222.30754979470652)"
2,"(True, 2625.938793509976)"
2,"(True, 8514.217401695607)"
2,"(False, None)"
2,"(True, 129.9120608606079)"
2,"(True, 754.0756201818918)"
2,"(True, 6223.544037041115)"
2,"(True, 256.5200520429604)"
2,"(True, 4754991.206386667)"
2,"(True, 2571.5823399845785)"
2,"(True, 104.92164206449856)"
2,"(True, 2537.2505796313026)"
2,"(True, 213.20864260203828)"
2,"(True, 571.680901653493)"
2,"(True, 510.71194845093447)"
2,"(True, 2052.8277809810556)"
2,"(True, 1098.9621960962027)"
2,"(True, 858.5162666666668)"
2,"(False, None)"
2,"(True, 2495.267597466591)"
2,"(True, 791.6190666666666)"
2,"(True, 750.4742795140752)"
3,"(True, 100.8643817956003)"
3,"(True, 756.2760803309368)"
3,"(True, 2687.5510357666917)"
3,"(True, 226845.05723817894)"
3,"(True, 481669.11820714606)"
3,"(True, 100.8643817956003)"
3,"(False, None)"
3,"(True, 1653.118599215999)"
3,"(True, 349.1874844801714)"
3,"(True, 2184.9965937503657)"
3,"(True, 2451.1896383876933)"
3,"(True, 173.48621538808086)"
3,"(False, None)"
3,"(True, 335.1011999999998)"
3,"(True, 129.9120608606079)"
3,"(True, 788.0144067336997)"
3,"(True, 849.0069872017777)"
3,"(True, 349.1874844801714)"
3,"(True, 349.1874844801714)"
3,"(True, 213.20864260203828)"
3,"(False, None)"
3,"(True, 2822.344673507229)"
3,"(True, 1415.6322465336284)"
3,"(True, 103.33678328360878)"
3,"(True, 2220.702552707194)"
3,"(True, 256.5200520429604)"
3,"(True, 4708.044266666666)"
3,"(True, 129.9120608606079)"
3,"(True, 965.4602666666666)"
3,"(True, 1.9194666666666687)"
3,"(True, 3711.683566666666)"
3,"(True, 113.6608007341267)"
3,"(True, 101.32481852317578)"
3,"(True, 7851.262777299493)"
3,"(True, 2571.3737026731164)"
3,"(True, 3189.2272338376365)"
3,"(True, 745.5769491116586)"
3,"(True, 2562.677995548824)"
3,"(True, 222.30754979470652)"
3,"(True, 2489.467225365871)"
3,"(True, 5610.7685565599995)"
3,"(True, 212.4520878816963)"
3,"(True, 140.07081082460368)"
3,"(True, 1546.3221001415693)"
3,"(True, 2558.157800966755)"
3,"(True, 5990.173570680612)"
3,"(True, 1302.303034768503)"
3,"(True, 807.5770178708515)"
3,"(True, 2529.095567009929)"
3,"(True, 1648.2731454483494)"
3,"(True, 41.86089999999999)"
3,"(True, 2565.3005937842977)"
3,"(True, 349.1874844801714)"
3,"(True, 1945.2811593861868)"
3,"(True, 553.6169738751354)"
3,"(True, 129.9120608606079)"
3,"(True, 213.20864260203828)"
3,"(True, 2511.3691346633914)"
3,"(True, 2510.3724999999995)"
3,"(True, 2827.7434416343513)"
3,"(True, 5.9625988245508585)"
3,"(True, 423.57275390625)"
3,"(True, 1928.1963840988506)"
3,"(False, None)"
3,"(True, 907.688172546039)"
3,"(True, 346.9792564719593)"
3,"(True, 222.30754979470652)"
3,"(True, 142.02911154664)"
3,"(True, 100.8643817956003)"
3,"(True, 1056.8416904028973)"
3,"(True, 222.30754979470652)"
3,"(True, 213.20864260203828)"
3,"(True, 5941.814090509081)"
3,"(True, 349.1874844801714)"
3,"(True, 741.0867666666667)"
3,"(True, 255.87441506630458)"
